관리기관명,지정번호,보호수지정일자,보호수유형명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,소재지지번주소,위도,경도,데이터기준일자
경기도 여주시청,여주-1,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,300,18,685,2.08,마을나무,하천,경기도 여주시 우만동 233,37.25587,127.6805,2022-08-03
경기도 여주시청,여주-2,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,200,20,320,1.16,마을나무,대,경기도 여주시 교동 261-1,37.28925,127.62841,2022-08-03
경기도 여주시청,여주-4,1982-10-15,노목,Juniperus chinensis L.,향나무,1,100,6,179,0.44,마을나무,대,경기도 여주시 교동 261-1,37.28924,127.62816,2022-08-03
경기도 여주시청,여주-5,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,6,124,0.33,마을나무,대,경기도 여주시 교동 261-1,37.28929,127.62807,2022-08-03
경기도 여주시청,여주-6,1982-10-15,노목,Juniperus chinensis L.,향나무,1,250,7,358,1,마을나무,도로,경기도 여주시 멱곡동 492,37.25537,127.66618,2022-08-03
경기도 여주시청,여주-7,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,170,15,308,1.16,마을나무,도로,경기도 여주시 멱곡동 492,37.25535,127.66665,2022-08-03
경기도 여주시청,여주-8,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,100,13,299,0.9,마을나무,대,경기도 여주시 홍문동 4,37.29799,127.63758,2022-08-03
경기도 여주시청,여주-9,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,700,25,581,2.26,마을나무,전,경기도 여주시 점동면 뇌곡리 42-2,37.15587,127.66647,2022-08-03
경기도 여주시청,여주-10,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,430,13,349,1.18,마을나무,유지,경기도 여주시 점동면 덕평리 83,37.18296,127.66072,2022-08-03
경기도 여주시청,여주-11,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,150,22,895,0.9,마을나무,잡종지,경기도 여주시 점동면 덕평리 387-33,37.17265,127.64992,2022-08-03
경기도 여주시청,여주-12,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,250,15,402,1.14,마을나무,도로,경기도 여주시 점동면 장안리 473,37.20129,127.71244,2022-08-03
경기도 여주시청,여주-13,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,120,20,515,1.52,마을나무,대,경기도 여주시 점동면 처리 188-7,37.22556,127.67546,2022-08-03
경기도 여주시청,여주-14,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,320,25,616,1.85,마을나무,전,경기도 여주시 가남읍 안금리 117,37.22849,127.60836,2022-08-03
경기도 여주시청,여주-15,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,350,15,444,1.3,마을나무,대,경기도 여주시 가남읍 금당리 산 21,37.20233,127.6188,2022-08-03
경기도 여주시청,여주-16,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,250,17,500,1.83,마을나무,전,경기도 여주시 가남읍 대신리 산 7-4,37.19513,127.53616,2022-08-03
경기도 여주시청,여주-17,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,200,15,227,1.1,마을나무,대,경기도 여주시 능서면 용은리 404-6,37.29566,127.55299,2022-08-03
경기도 여주시청,여주-18,1982-10-15,노목,Juniperus chinensis L.,향나무,1,160,7,111,0.5,마을나무,대,경기도 여주시 능서면 번도리 321-4,37.30614,127.57664,2022-08-03
경기도 여주시청,여주-19,1982-10-15,노목,Juniperus chinensis L.,향나무,1,160,8,195,0.4,마을나무,하천,경기도 여주시 능서면 구양리 297-3,37.31707,127.58411,2022-08-03
경기도 여주시청,여주-20,1982-10-15,노목,Alnus japonica (Thunb.) Steud.,오리나무,3,150,17,271,0.88,마을나무,답,경기도 여주시 능서면 용은리 662-1,37.29277,127.55531,2022-08-03
경기도 여주시청,여주-21,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,300,25,426,1.52,마을나무,전,경기도 여주시 흥천면 신근리 403,37.31105,127.56022,2022-08-03
경기도 여주시청,여주-22,1982-10-15,노목,Juniperus chinensis L.,향나무,1,300,7,130,0.7,마을나무,임야,경기도 여주시 흥천면 상백리 166,37.36376,127.55391,2022-08-03
경기도 여주시청,여주-23,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,13,207,0.65,마을나무,전,경기도 여주시 흥천면 상대리 산 74-1,37.34514,127.50603,2022-08-03
경기도 여주시청,여주-24,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,200,20,600,2.3,마을나무,임야,경기도 여주시 흥천면 상대리199-1,37.34505,127.51172,2022-08-03
경기도 여주시청,여주-25,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,200,20,611,1.92,마을나무,대,경기도 여주시 흥천면 계신리 192,37.37377,127.54004,2022-08-03
경기도 여주시청,여주-26,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,350,16,396,1.12,마을나무,전,경기도 여주시 흥천면 귀백리 137-1,37.34222,127.55536,2022-08-03
경기도 여주시청,여주-27,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,120,15,230,1.6,마을나무,도로,경기도 여주시 흥천면 귀백리 267,37.34339,127.54908,2022-08-03
경기도 여주시청,여주-28,1982-10-15,노목,Juniperus chinensis L.,향나무,1,300,6,328,1.02,마을나무,전,경기도 여주시 흥천면 대당리 325-1,37.32396,127.54206,2022-08-03
경기도 여주시청,여주-29,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,200,18,540,1.14,마을나무,전,경기도 여주시 흥천면 율극리 22-3,37.33438,127.57064,2022-08-03
경기도 여주시청,여주-31,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,100,20,358,1.16,마을나무,임야,경기도 여주시 흥천면 외사리 산 38-4,37.3515,127.49662,2022-08-03
경기도 여주시청,여주-32,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,500,18,567,1.7,마을나무,전,경기도 여주시 금사면 외평리 190-1,37.41292,127.52945,2022-08-03
경기도 여주시청,여주-33,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,500,20,458,1.9,마을나무,하천,경기도 여주시 금사면 이포리 380,37.401639,127.537001,2022-08-03
경기도 여주시청,여주-34,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,500,15,525,1.6,마을나무,대,경기도 여주시 금사면 이포리 281-2,37.39159,127.53374,2022-08-03
경기도 여주시청,여주-35,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,300,18,619,1.83,마을나무,임야,경기도 여주시 금사면 이포리 155-14,37.39593,127.53605,2022-08-03
경기도 여주시청,여주-39,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,300,20,493,1.52,마을나무,구거,경기도 여주시 금사면 도곡리 615,37.3786,127.5064,2022-08-03
경기도 여주시청,여주-40,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,300,22,570,1.68,마을나무,대,경기도 여주시 금사면 도곡리 183-12,37.37874,127.50637,2022-08-03
경기도 여주시청,여주-41,1982-10-15,노목,Fraxinus rhynchophylla Hance,물푸레나무,1,150,14,272,0.87,마을나무,임야,경기도 여주시 금사면 궁리 289,37.38339,127.51957,2022-08-03
경기도 여주시청,여주-42,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,100,15,367,1.05,마을나무,대,경기도 여주시 금사면 주록리 44-1,37.37628,127.47281,2022-08-03
경기도 여주시청,여주-44,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,400,18,503,2,마을나무,구거,경기도 여주시 산북면 백자리 169,37.41659,127.45628,2022-08-03
경기도 여주시청,여주-45,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,400,18,564,1.81,마을나무,대,경기도 여주시 산북면 백자리 269,37.42344,127.45769,2022-08-03
경기도 여주시청,여주-46,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,400,20,941,2.52,마을나무,도로,경기도 여주시 산북면 명품리 706,37.40777,127.44297,2022-08-03
경기도 여주시청,여주-47,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,400,16,555,2.3,마을나무,대,경기도 여주시 산북면 주어리 525-2,37.41577,127.42425,2022-08-03
경기도 여주시청,여주-48,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,350,18,642,2.08,마을나무,대,경기도 여주시 산북면 주어리 525-2,37.41585,127.42446,2022-08-03
경기도 여주시청,여주-49,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,200,20,482,1.4,마을나무,구거,경기도 여주시 대신면 하림리 477-1,37.35735,127.63863,2022-08-03
경기도 여주시청,여주-51,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,250,17,723,2.24,마을나무,대,경기도 여주시 대신면 당남리 12-4,37.39302,127.56551,2022-08-03
경기도 여주시청,여주-52,1982-10-15,노목,Juniperus chinensis L.,향나무,1,200,11,192,0.59,마을나무,답,경기도 여주시 대신면 후포리 703-2,37.35243,127.60574,2022-08-03
경기도 여주시청,여주-53,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,100,10,380,0.98,마을나무,전,경기도 여주시 대신면 가산리 522-1,37.34093,127.61399,2022-08-03
경기도 여주시청,여주-54,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,120,18,511,1.52,마을나무,전,경기도 여주시 대신면 윤촌리 153-1,37.41334,127.6085,2022-08-03
경기도 여주시청,여주-55,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,150,18,324,1.02,마을나무,임야,경기도 여주시 대신면 송촌리 산35,37.41104,127.56534,2022-08-03
경기도 여주시청,여주-56,1982-10-15,노목,Zelkova serrata (Thunb.) Makino,느티나무,1,180,12,548,1.58,마을나무,답,경기도 여주시 대신면 율촌리 395,37.37555,127.58518,2022-08-03
경기도 여주시청,여주-57,1982-10-15,노목,Ginkgo biloba L.,은행나무,1,120,13,376,1.18,마을나무,임야,경기도 여주시 대신면 율촌리 238-92,37.37845,127.58922,2022-08-03
경기도 여주시청,여주-58,1982-10-15,노목,Juniperus chinensis L.,향나무,1,200,12,327,1.04,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-59,1982-10-15,노목,Juniperus chinensis L.,향나무,1,200,12,213,0.62,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-60,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,10,200,0.62,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-61,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,9,210,0.68,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-62,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,8,186,0.68,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-63,1982-10-15,노목,Juniperus chinensis L.,향나무,1,150,7,141,0.62,마을나무,임야,경기도 여주시 대신면 초현리 산 12-15,37.37927071,127.5964069,2022-08-03
경기도 여주시청,여주-65,1982-10-15,노목,Juniperus chinensis L.,향나무,1,500,7,220,0.58,마을나무,종교용지,경기도 여주시 천송동 282,37.29776,127.66131,2022-08-03
